timestamp,source,channel,batch_idx,sample_in_batch,global_sample_idx,observed_min,observed_max,observed_mean,allowed_lower,allowed_upper,csv_min,csv_max,p01,p99,finite_ratio,nonfinite_count,violation,below_by,above_by
2022-01-04 18:00:00,cma,u50,1,7,15,-30.327913284301758,57.05708312988281,4.438297748565674,-27.29123706817627,56.51075954437257,-20.307737350463867,49.52725982666016,-13.38273811340332,41.62726211547852,1.0,0,below_min;above_max,3.036676216125489,0.546323585510244
2022-01-04 18:00:00,cma,u150,1,7,15,-29.75412368774414,88.36587524414062,14.702244758605957,-45.561387634277345,82.8806167602539,-34.857887268066406,72.17711639404297,-21.327884674072266,56.14711380004883,1.0,0,above_max,0.0,5.485258483886724
2022-01-04 18:00:00,cma,u200,1,7,15,-33.056095123291016,106.35890197753906,15.553121566772461,-37.52268333435059,92.50331611633301,-26.687183380126957,81.66781616210938,-16.102182388305664,63.417816162109375,1.0,0,above_max,0.0,13.855585861206052
2022-01-04 18:00:00,cma,u250,1,7,15,-44.97016906738281,103.0748291015625,14.633892059326172,-50.39963340759277,102.46837043762207,-37.6606330871582,89.7293701171875,-16.55563735961914,64.45936584472656,1.0,0,above_max,0.0,0.6064586639404297
2022-01-04 18:00:00,cma,u700,1,7,15,-39.98284912109375,40.20714569091797,3.5394814014434814,-38.12271099090576,46.57329349517822,-31.06471061706543,39.51529312133789,-13.54471206665039,27.97528839111328,1.0,0,below_min,1.8601381301879911,0.0
2022-01-04 18:00:00,cma,v50,1,7,15,-51.77500534057617,45.38999557495117,-0.21805579960346222,-30.524716949462892,36.77367935180664,-24.91651725769043,31.16547966003418,-18.581018447875977,22.86298105239868,1.0,0,below_min;above_max,21.25028839111328,8.61631622314453
2022-01-04 18:00:00,cma,v100,1,7,15,-36.95085906982422,45.814144134521484,-0.05683967098593712,-27.414196968078617,32.050002098083496,-22.45884704589844,27.09465217590332,-16.778846740722656,16.470958366394036,1.0,0,below_min;above_max,9.536662101745602,13.764142036437988
2022-01-04 18:00:00,cma,v500,1,7,15,-42.28144073486328,51.2585563659668,-0.0320533849298954,-45.70456199645996,46.10143928527832,-38.05406188964844,38.4509391784668,-23.104063034057617,22.74593734741211,1.0,0,above_max,0.0,5.157117080688479
2022-01-04 18:00:00,cma,v600,1,7,15,-35.577056884765625,48.482940673828125,-0.01727955788373947,-36.2928804397583,38.20011653900146,-30.08513069152832,31.992366790771484,-19.387240676879884,19.150478839874253,1.0,0,above_max,0.0,10.282824134826662
2022-01-04 18:00:00,cma,v700,1,7,15,-33.03179168701172,44.48820877075195,-0.013448625802993774,-37.889457893371585,41.16053981781006,-31.301958084106445,34.57304000854492,-16.531959533691406,17.1230411529541,1.0,0,above_max,0.0,3.3276689529418917
2022-01-04 18:00:00,cma,v850,1,7,15,-33.57915115356445,42.07585144042969,-0.12862710654735565,-43.882645797729495,41.05935401916504,-36.80414581298828,33.98085403442383,-15.119146347045898,16.788903827667166,1.0,0,above_max,0.0,1.0164974212646456
